Listing of Array trace data
     px      py error            xout            yout   trans
  0.450   0.000     0   6.102230E-003   0.000000E+000  1.0000
  0.450   0.050     0   6.070261E-003   6.744734E-004  1.0000
  0.450   0.100     0   5.974666E-003   1.327703E-003  1.0000
  0.450   0.150     0   5.816386E-003   1.938795E-003  1.0000
  0.450   0.200     0   5.597010E-003   2.487560E-003  1.0000
  0.450   0.250     0   5.318793E-003   2.954885E-003  1.0000
  0.450   0.300     0   4.984701E-003   3.323134E-003  1.0000
  0.450   0.350     0   4.598458E-003   3.576579E-003  1.0000
  0.450   0.400     0   4.164606E-003   3.701872E-003  1.0000
  0.450   0.450     0   3.688586E-003   3.688586E-003  1.0000
  0.450   0.500     0   3.176830E-003   3.529811E-003  1.0000
  0.500  -0.500     0   2.985686E-003  -2.985686E-003  1.0000
  0.500  -0.450     0   3.529811E-003  -3.176830E-003  1.0000
  0.500  -0.400     0   4.037443E-003  -3.229955E-003  1.0000
  0.500  -0.350     0   4.501208E-003  -3.150846E-003  1.0000
  0.500  -0.300     0   4.914870E-003  -2.948922E-003  1.0000
  0.500  -0.250     0   5.273223E-003  -2.636611E-003  1.0000
  0.500  -0.200     0   5.572000E-003  -2.228800E-003  1.0000
  0.500  -0.150     0   5.807804E-003  -1.742341E-003  1.0000
  0.500  -0.100     0   5.978048E-003  -1.195610E-003  1.0000
  0.500  -0.050     0   6.080913E-003  -6.080913E-004  1.0000
  0.500   0.000     0   6.115320E-003   0.000000E+000  1.0000
  0.500   0.050     0   6.080913E-003   6.080913E-004  1.0000
  0.500   0.100     0   5.978048E-003   1.195610E-003  1.0000
  0.500   0.150     0   5.807804E-003   1.742341E-003  1.0000
  0.500   0.200     0   5.572000E-003   2.228800E-003  1.0000
  0.500   0.250     0   5.273223E-003   2.636611E-003  1.0000
  0.500   0.300     0   4.914870E-003   2.948922E-003  1.0000
  0.500   0.350     0   4.501208E-003   3.150846E-003  1.0000
  0.500   0.400     0   4.037443E-003   3.229955E-003  1.0000
  0.500   0.450     0   3.529811E-003   3.176830E-003  1.0000
  0.500   0.500     0   2.985686E-003   2.985686E-003  1.0000
